time, fx_peak
1e-05, 0.999901
2e-05, 0.999803
3e-05, 0.999704
4e-05, 0.999605
5e-05, 0.999507
6e-05, 0.999408
7e-05, 0.999309
8e-05, 0.999211
9e-05, 0.999112
0.0001, 0.999014
0.00011, 0.998915
0.00012, 0.998816
0.00013, 0.998718
0.00014, 0.998619
0.00015, 0.998521
0.00016, 0.998422
0.00017, 0.998324
0.00018, 0.998225
0.00019, 0.998127
0.0002, 0.998028
0.00021, 0.99793
0.00022, 0.997831
0.00023, 0.997733
0.00024, 0.997634
0.00025, 0.997536
0.00026, 0.997437
0.00027, 0.997339
0.00028, 0.99724
0.00029, 0.997142
0.0003, 0.997044
0.00031, 0.996945
0.00032, 0.996847
0.00033, 0.996748
0.00034, 0.99665
0.00035, 0.996552
0.00036, 0.996453
0.00037, 0.996355
0.00038, 0.996257
0.00039, 0.996158
0.0004, 0.99606
0.00041, 0.995962
0.00042, 0.995863
0.00043, 0.995765
0.00044, 0.995667
0.00045, 0.995569
0.00046, 0.99547
0.00047, 0.995372
0.00048, 0.995274
0.00049, 0.995176
0.0005, 0.995078
0.00051, 0.994979
0.00052, 0.994881
0.00053, 0.994783
0.00054, 0.994685
0.00055, 0.994587
0.00056, 0.994488
0.00057, 0.99439
0.00058, 0.994292
0.00059, 0.994194
0.0006, 0.994096
0.00061, 0.993998
0.00062, 0.9939
0.00063, 0.993802
0.00064, 0.993704
0.00065, 0.993606
0.00066, 0.993507
0.00067, 0.993409
0.00068, 0.993311
0.00069, 0.993213
0.0007, 0.993115
0.00071, 0.993017
0.00072, 0.992919
0.00073, 0.992821
0.00074, 0.992723
0.00075, 0.992625
0.00076, 0.992527
0.00077, 0.992429
0.00078, 0.992332
0.00079, 0.992234
0.0008, 0.992136
0.00081, 0.992038
0.00082, 0.99194
0.00083, 0.991842
0.00084, 0.991744
0.00085, 0.991646
0.00086, 0.991548
0.00087, 0.99145
0.00088, 0.991353
0.00089, 0.991255
0.0009, 0.991157
0.00091, 0.991059
0.00092, 0.990961
0.00093, 0.990864
0.00094, 0.990766
0.00095, 0.990668
0.00096, 0.99057
0.00097, 0.990472
0.00098, 0.990375
0.00099, 0.990277
0.001, 0.990179
0.00101, 0.990082
0.00102, 0.989984
0.00103, 0.989886
